Year,"College Region (Glasgow, Highlands, etc)",College names (actual for each year),Male,Female,Inf ref/pr not say,Difference,Female real
2010,Glasgow,Cardonald College,32,5,0,3,2
2010,Glasgow,Central Glasgow,29,5,0,1,4
2010,Glasgow,Langside College,13,5,0,1,4
2010,Glasgow,Stow College,5,0,0,0,0
2010,Lanarkshire,Motherwell College,15,5,0,4,1
2009,Aberdeen and Aberdeenshire,Aberdeen College,29,5,0,1,4
2009,Aberdeen and Aberdeenshire,Banff and Buchan,5,0,0,0,0
2009,Ayrshire,Kilmarnock College,7,5,0,1,4
2009,Dundee and Angus,Dundee College,17,5,0,4,1
2009,Edinburgh and Lothians,Edin Telford Col,28,0,0,0,0
2009,Forth Valley,Forth Valley Colle,27,5,0,3,2
2009,Glasgow,Anniesland College,10,5,0,3,2
2009,Glasgow,Cardonald College,34,5,0,3,2
2009,Glasgow,Central Glasgow,32,5,0,0,5
2009,Glasgow,Langside College,7,0,0,0,0
2009,Glasgow,Stow College,5,0,0,0,0
2009,Lanarkshire,Motherwell College,13,0,0,0,0
2008,Aberdeen and Aberdeenshire,Aberdeen College,24,5,0,4,1
2008,Aberdeen and Aberdeenshire,Banff and Buchan,18,0,0,0,0
2008,Ayrshire,Kilmarnock College,5,0,0,0,0
2008,Dundee and Angus,Dundee College,21,5,0,4,1
2008,Edinburgh and Lothians,Edin Telford Col,21,5,0,3,2
2008,Forth Valley,Forth Valley Colle,13,5,0,4,1
2008,Glasgow,Cardonald College,37,5,0,3,2
2008,Glasgow,Central Glasgow,32,6,0,0,6
2008,Glasgow,Langside College,8,5,0,4,1
2008,Glasgow,Stow College,5,5,0,5,0
2008,Lanarkshire,Motherwell College,10,5,0,2,3
2008,West,Reid Kerr College,5,5,0,5,0
2007,Aberdeen and Aberdeenshire,Aberdeen College,13,5,0,3,2
2007,Aberdeen and Aberdeenshire,Banff and Buchan,18,5,0,3,2
2007,Ayrshire,Kilmarnock College,5,0,0,0,0
2007,Dundee and Angus,Dundee College,27,5,0,0,5
2007,Edinburgh and Lothians,Edin Telford Col,10,5,0,3,2
2007,Glasgow,Cardonald College,32,5,0,2,3
2007,Glasgow,Langside College,17,6,0,0,6
2007,Glasgow,Stow College,5,5,0,5,0
2006,Aberdeen and Aberdeenshire,Aberdeen College,12,5,0,3,2
2006,Aberdeen and Aberdeenshire,Banff & Buchan C,9,5,0,1,4
2006,Ayrshire,James Watt College,10,5,0,4,1
2006,Ayrshire,Kilmarnock College,6,0,0,0,0
2006,Dundee and Angus,Dundee College,39,5,0,3,2
2006,Edinburgh and Lothians,Edin Telford Col,40,5,0,1,4
2006,Forth Valley,Forth Valley Colle,14,5,0,4,1
2006,Glasgow,Cardonald College,30,5,0,0,5
2006,Glasgow,Langside College,14,5,0,4,1
2006,Lanarkshire,Cumbernauld Colleg,5,5,0,2,3
2006,Lanarkshire,Motherwell College,6,0,0,0,0
2006,West,Reid Kerr College,5,0,0,0,0
2005,Aberdeen and Aberdeenshire,Aberdeen College,12,5,0,3,2
2005,Aberdeen and Aberdeenshire,Banff & Buchan C,8,5,0,0,5
2005,Ayrshire,James Watt College,12,5,0,4,1
2005,Ayrshire,Kilmarnock College,5,5,0,5,0
2005,Dundee and Angus,Dundee College,47,5,0,3,2
2005,Edinburgh and Lothians,Edin Telford Col,20,5,0,2,3
2005,Fife,Adam Smith College,6,0,0,0,0
2005,Glasgow,Anniesland College,9,0,0,0,0
2005,Glasgow,Cardonald College,34,5,0,2,3
2005,Glasgow,Langside College,14,5,0,1,4
2005,Lanarkshire,Motherwell College,5,0,0,0,0
2005,Lanarkshire,South Lanarksh.Col,14,5,0,3,2
