Year,"College Region (Glasgow, Highlands, etc)",College names (actual for each year),Male,Female,Inf ref/pr not say,Difference,Female real,PERCENTAGE OF FEMALES:female/male * 100,PER_FEM,College chosen,POSTCODE,LATITUDE,LONGITUDE,TYPE,local_authority
2015,Dundee and Angus,Dundee & Angus Col,58,7,0,0,7,10.77,10.77,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2015,Edinburgh and Lothians,Edinburgh College,50,5,0,2,3,5.66,5.66,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2015,Fife,Fife College,57,6,0,0,6,9.52,9.52,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2015,Forth Valley,Forth Valley Col,36,5,0,3,2,5.26,5.26,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2015,Glasgow,Glasgow Clyde Col,152,20,0,0,20,11.63,11.63,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2015,Glasgow,Glasgow Kelvin Col,13,0,0,0,0,0.00,0.00,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2015,Aberdeen and Aberdeenshire,NE Scotland Col,74,5,0,0,5,6.33,6.33,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2015,Lanarkshire,New Col Lanarkshir,33,5,0,4,1,2.94,2.94,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2015,West,West College Scot.,13,5,0,3,2,13.33,13.33,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2015,West Lothian,West Lothian Coll,19,5,0,4,1,5.00,5.00,West Lothian College,EH54 7EP,55.88416975,-3.524881151,college,West Lothian
2014,Ayrshire,Ayrshire College,7,5,0,4,1,12.50,12.50,Ayr Campus,KA8 0EU,55.45840775,-4.611970264,college,South Ayrshire
2014,Glasgow,City of Glasg Coll,75,11,0,0,11,12.79,12.79,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2014,Dundee and Angus,Dundee & Angus Col,67,5,0,0,5,6.94,6.94,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2014,Edinburgh and Lothians,Edinburgh College,31,0,0,0,0,0.00,0.00,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2014,Fife,Fife College,29,0,0,0,0,0.00,0.00,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2014,Forth Valley,Forth Valley Col,47,5,0,4,1,2.08,2.08,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2014,Glasgow,Glasgow Clyde Col,151,11,0,0,11,6.79,6.79,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2014,Glasgow,Glasgow Kelvin Col,26,5,0,1,4,13.33,13.33,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2014,Aberdeen and Aberdeenshire,NE Scotland Col,67,5,0,0,5,6.94,6.94,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2014,Lanarkshire,New Col Lanarkshir,16,5,0,4,1,5.88,5.88,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2014,West,West College Scot.,20,7,0,0,7,25.93,25.93,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2014,West Lothian,West Lothian Coll,17,5,0,2,3,15.00,15.00,West Lothian College,EH54 7EP,55.88416975,-3.524881151,college,West Lothian
2013,Aberdeen and Aberdeenshire,Aberdeen College,80,8,0,0,8,9.09,9.09,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2013,Fife,Adam Smith College,8,5,0,4,1,11.11,11.11,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2013,Glasgow,Anniesland College,20,5,0,3,2,9.09,9.09,Anniesland College,G12 0YE,55.8861916,-4.319644419,college,Glasgow City
2013,Glasgow,Cardonald College,18,5,0,3,2,10.00,10.00,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2013,Glasgow,City of Glasg Coll,76,8,0,0,8,9.52,9.52,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2013,Dundee and Angus,Dundee College,58,5,0,2,3,4.92,4.92,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2013,Edinburgh and Lothians,Edinburgh College,20,0,0,0,0,0.00,0.00,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2013,Forth Valley,Forth Valley Col,54,5,0,2,3,5.26,5.26,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2013,Ayrshire,Kilmarnock College,13,0,0,0,0,0.00,0.00,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
2013,Glasgow,Langside College,17,5,0,3,2,10.53,10.53,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2013,Lanarkshire,Motherwell College,15,5,0,4,1,6.25,6.25,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2013,Glasgow,Stow College,8,0,0,0,0,0.00,0.00,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2013,West,West College Scot.,5,5,0,5,0,0.00,0.00,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2012,Aberdeen and Aberdeenshire,Aberdeen College,45,5,0,1,4,8.16,8.16,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2012,Fife,Adam Smith College,22,5,0,4,1,4.35,4.35,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2012,Glasgow,Cardonald College,13,5,0,1,4,23.53,23.53,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2012,Glasgow,City of Glasg Coll,76,5,0,0,5,6.17,6.17,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2012,Dundee and Angus,Dundee College,55,6,0,0,6,9.84,9.84,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2012,Edinburgh and Lothians,Edin Telford Col,9,0,0,0,0,0.00,0.00,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2012,Forth Valley,Forth Valley Col,60,5,0,3,2,3.23,3.23,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2012,Ayrshire,Kilmarnock College,11,5,0,4,1,8.33,8.33,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
2012,Glasgow,Langside College,13,5,0,3,2,13.33,13.33,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2012,Lanarkshire,Motherwell College,16,5,0,4,1,5.88,5.88,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2012,Glasgow,Stow College,11,5,0,3,2,15.38,15.38,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2011,Aberdeen and Aberdeenshire,Aberdeen College,51,6,0,0,6,10.53,10.53,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2011,Fife,Adam Smith College,15,5,0,2,3,16.67,16.67,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2011,Glasgow,Cardonald College,38,5,0,2,3,7.32,7.32,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2011,Glasgow,City of Glasg Coll,54,11,0,0,11,16.92,16.92,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2011,Dundee and Angus,Dundee College,41,5,0,0,5,10.87,10.87,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2011,Edinburgh and Lothians,Edin Telford Col,15,5,0,4,1,6.25,6.25,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2011,Forth Valley,Forth Valley Col,39,7,0,0,7,15.22,15.22,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2011,Ayrshire,James Watt College,5,0,0,0,0,0.00,0.00,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2011,Ayrshire,Kilmarnock College,11,5,0,4,1,8.33,8.33,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
2011,Glasgow,Langside College,10,5,0,4,1,9.09,9.09,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2011,Lanarkshire,Motherwell College,10,5,0,3,2,16.67,16.67,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2011,West,Reid Kerr College,5,0,0,0,0,0.00,0.00,Reid Kerr College,PA3 4,55.852463,-4.4202858,college,Renfrewshire
2011,Glasgow,Stow College,5,0,0,0,0,0.00,0.00,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2010,Aberdeen and Aberdeenshire,Aberdeen College,46,6,0,0,6,11.54,11.54,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2010,Fife,Adam Smith College,20,5,0,3,2,9.09,9.09,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2010,Glasgow,Cardonald College,32,5,0,3,2,5.88,5.88,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2010,Fife,Carnegie College,5,5,0,5,0,0.00,0.00,Rosyth Campus,KY11 2EA,56.0298743,-3.4485858,college,Fife
2010,Glasgow,Central Glasgow,29,5,0,1,4,12.12,12.12,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2010,Dundee and Angus,Dundee College,50,6,0,0,6,10.71,10.71,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2010,Edinburgh and Lothians,Edin Telford Col,26,5,0,3,2,7.14,7.14,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2010,Forth Valley,Forth Valley Col,43,6,0,0,6,12.24,12.24,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2010,Ayrshire,Kilmarnock College,7,0,0,0,0,0.00,0.00,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
2010,Glasgow,Langside College,13,5,0,1,4,23.53,23.53,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2010,Lanarkshire,Motherwell College,15,5,0,4,1,6.25,6.25,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2010,Glasgow,Stow College,5,0,0,0,0,0.00,0.00,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2009,Aberdeen and Aberdeenshire,Aberdeen College,29,5,0,1,4,12.12,12.12,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2009,Glasgow,Anniesland College,10,5,0,3,2,16.67,16.67,Anniesland College,G12 0YE,55.8861916,-4.319644419,college,Glasgow City
2009,Aberdeen and Aberdeenshire,Banff and Buchan,5,0,0,0,0,0.00,0.00,Fraserburgh Campus,AB43 9GA,57.68555875,-2.026723234,college,Aberdeenshire
2009,Glasgow,Cardonald College,34,5,0,3,2,5.56,5.56,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2009,Glasgow,Central Glasgow,32,5,0,0,5,13.51,13.51,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2009,Dundee and Angus,Dundee College,17,5,0,4,1,5.56,5.56,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2009,Edinburgh and Lothians,Edin Telford Col,28,0,0,0,0,0.00,0.00,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2009,Forth Valley,Forth Valley Col,27,5,0,3,2,6.90,6.90,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2009,Ayrshire,Kilmarnock College,7,5,0,1,4,36.36,36.36,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
2009,Glasgow,Langside College,7,0,0,0,0,0.00,0.00,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2009,Lanarkshire,Motherwell College,13,0,0,0,0,0.00,0.00,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2009,Glasgow,Stow College,5,0,0,0,0,0.00,0.00,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2008,Aberdeen and Aberdeenshire,Aberdeen College,24,5,0,4,1,4.00,4.00,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2008,Aberdeen and Aberdeenshire,Banff and Buchan,18,0,0,0,0,0.00,0.00,Fraserburgh Campus,AB43 9GA,57.68555875,-2.026723234,college,Aberdeenshire
2008,Glasgow,Cardonald College,37,5,0,3,2,5.13,5.13,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2008,Glasgow,Central Glasgow,32,6,0,0,6,15.79,15.79,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2008,Dundee and Angus,Dundee College,21,5,0,4,1,4.55,4.55,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2008,Edinburgh and Lothians,Edin Telford Col,21,5,0,3,2,8.70,8.70,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2008,Forth Valley,Forth Valley Col,13,5,0,4,1,7.14,7.14,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2008,Ayrshire,Kilmarnock College,5,0,0,0,0,0.00,0.00,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
2008,Glasgow,Langside College,8,5,0,4,1,11.11,11.11,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2008,Lanarkshire,Motherwell College,10,5,0,2,3,23.08,23.08,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2008,West,Reid Kerr College,5,5,0,5,0,0.00,0.00,Reid Kerr College,PA3 4,55.852463,-4.4202858,college,Renfrewshire
2008,Glasgow,Stow College,5,5,0,5,0,0.00,0.00,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2007,Aberdeen and Aberdeenshire,Aberdeen College,13,5,0,3,2,13.33,13.33,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2007,Aberdeen and Aberdeenshire,Banff and Buchan,18,5,0,3,2,10.00,10.00,Fraserburgh Campus,AB43 9GA,57.68555875,-2.026723234,college,Aberdeenshire
2007,Glasgow,Cardonald College,32,5,0,2,3,8.57,8.57,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2007,Dundee and Angus,Dundee College,27,5,0,0,5,15.63,15.63,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2007,Edinburgh and Lothians,Edin Telford Col,10,5,0,3,2,16.67,16.67,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2007,Ayrshire,Kilmarnock College,5,0,0,0,0,0.00,0.00,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
